"pIC50","RDKit Mol","Tier","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
4.522878745280338,"Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1","0",5.308240000000004,123.62200000000004,172.70083287730705,12.05,382.5310000000001,382.22777431609,3,0,4,0,2,0,3,29,57,0,0,4,4,0,0,2,0,0,2,0,0,0.19230769230769232,17.847194285965013,9.980716521470839,7.785525375771367,5.628142200717264,3.9583289263939267,9.980716521470839,7.785525375771367,5.628142200717264,3.9583289263939267,-3.329999999999999,19.00679023622427,7.591373851977636,3.5609027583107578,9.467009378641832,18.662443613145733,7.04767198267719,13.847474399381248,22.64523547624238,66.73003775307771,0,28.742351420432378,0,5.687386274683562,0,0,4.567099647791355,0,4.567099647791355,7.04767198267719,13.847474399381248,18.995253696204855,89.37527322932011,0,5.687386274683562,28.742351420432378,9.467009378641832,0,0,4.567099647791355,0,18.19910120538483,61.885148408681786,60.452950962640315,0,7.04767198267719,0,11.210628712464722,0,0,26,0,0,0,0,0,0,1,2,0,0,29,9,1,0,11,11,0,4,3,3,0,0,0,1,5,2,1,0,11,10,0,0,0,1,3,0,0,0,0,2,1
7.09963287134353,"COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O","0.5",5.697320000000006,136.1778,206.6103488474223,68.23,475.58500000000043,475.23587315599997,6,1,9,1,5,0,6,35,68,1,0,4,3,1,1,0,1,1,3,0,0,0.3448275862068966,20.620914001060534,11.999360798984807,8.871037996688925,6.766429986320459,4.79351013758503,11.999360798984807,8.871037996688925,6.766429986320459,4.79351013758503,-3.5099999999999993,24.609405400366068,11.277234238915218,5.597958273211048,14.210588861400147,42.78193473125864,17.946175554497316,6.923737199690624,35.95281934386902,60.6636706846161,0,11.126902983393991,0,0,17.248535499851716,0,24.111653440312672,0,4.899909730850477,0,45.379681268042106,20.764351488467643,77.35402515970709,0,28.375438483245706,5.9693052879518484,19.31711625624085,9.694446914922299,0,0,0,54.95175817061889,48.563942818243206,18.677490542835795,19.78304657425206,29.897258293512593,0,0,0,5.9693052879518484,29,0,0,0,0,0,0,0,1,5,0,35,13,1,0,15,9,0,9,11,6,1,1,0,0,5,5,1,0,14,10,0,0,0,0,4,0,0,0,0,0,0
7.096910013008056,"Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2","0.5",4.215620000000002,128.2613,206.79579769008225,97.25,499.5100000000002,499.18064402399995,7,3,10,3,6,0,9,36,63,1,0,4,3,0,1,0,0,1,3,0,0,0.2962962962962963,19.722142408699742,11.513307025060758,8.49343637636808,5.888915800545495,3.982004086039321,11.513307025060758,8.49343637636808,5.888915800545495,3.982004086039321,-3.6899999999999995,25.40432488600181,11.36439461583462,6.104613963284678,19.527377465406477,42.04484680031997,17.946175554497316,18.558178881782414,23.111176098016998,48.53093654769288,0,11.126902983393991,0,8.78083009534964,17.248535499851716,0,37.99901093050302,0,5.316788604006331,0,32.600163580790436,19.75852033493841,76.85573270487568,0,28.375438483245706,5.9693052879518484,29.74043225508789,4.794537184071822,8.78083009534964,0,0,24.26546827384644,47.376644371863435,24.719331371983756,12.524788010674312,25.637866734584648,23.065756340897607,0,0,5.9693052879518484,27,2,0,0,0,0,0,1,0,4,2,36,15,1,0,14,9,0,10,13,7,3,3,0,0,6,6,2,0,12,10,0,0,0,0,4,0,0,0,0,2,1
8.522878745280337,"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@H](O)C[C@@H]3C(=O)O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2","1",6.136100000000007,171.33559999999957,271.63017890440693,121.48,641.1200000000001,640.197629076,9,2,10,2,8,0,10,46,79,2,0,6,4,1,2,0,1,2,4,0,0,0.2777777777777778,25.996640490307428,15.370533609840983,11.808223338379184,8.583004261220598,6.125794113814758,14.992569136831756,11.401023211638579,8.28763469600356,5.884979021156719,-4.749999999999999,31.241526661796932,13.71073160956869,6.89662788515669,18.947451815200196,52.986597360318406,24.55305751901023,18.254850067221383,34.23807908141099,72.79640482153933,5.022633313741326,11.126902983393991,0,0,22.99804733313562,11.600939890232516,33.95504378895343,5.261891554738487,4.899909730850477,0,45.2488863744513,19.75852033493841,105.63629559376567,0,40.194171629321886,17.570245178184365,29.160506604881608,9.694446914922299,0,5.261891554738487,0,47.99914230100217,65.07283000048365,31.140152994909766,22.7592725059789,43.96839235376744,11.49902366656781,0,0,5.9693052879518484,36,0,1,0,0,0,0,1,1,5,2,46,15,1,1,22,12,0,10,16,9,2,2,0,0,6,6,1,0,18,15,0,0,0,1,5,0,0,0,0,2,1
7.080294465450879,"COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O","0.5",4.483920000000003,130.88340000000002,195.43195271697502,68.82,448.56300000000033,448.236207504,6,2,11,2,5,1,6,33,65,0,0,3,3,0,0,0,0,0,3,0,0,0.2962962962962963,19.734922978497902,10.998836326175136,7.710484395240813,5.4840029563432875,3.6892190383415078,10.998836326175136,7.710484395240813,5.4840029563432875,3.6892190383415078,-3.5099999999999993,24.1387262611962,11.925276756659093,6.492723617545043,24.844166069412807,33.21628762373172,17.946175554497316,6.923737199690624,23.614091674781612,60.6636706846161,0,11.126902983393991,0,0,17.248535499851716,0,19.005126045471968,0,10.633577208012662,0,26.999112769806743,27.30910789438022,77.35402515970709,0,28.375438483245706,5.907179729351506,24.844166069412807,4.794537184071822,0,0,0,48.53093654769288,29.177543166478607,38.69074055435157,19.78304657425206,23.85541746436463,0,5.907179729351506,0,0,27,0,0,0,0,0,0,2,0,4,0,33,16,1,0,9,9,0,11,10,6,2,2,0,0,5,9,1,0,10,8,0,0,0,0,3,0,0,0,0,0,0
8.619788758288394,"Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cccc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C","1",5.306420000000004,163.95429999999962,255.75783023006264,130.27,594.6640000000001,594.236601428,9,3,12,3,8,0,9,44,78,1,0,5,4,0,1,0,0,1,4,0,0,0.2571428571428571,24.631076425403613,14.296693299076342,10.517392386123413,7.510407359664064,5.0310291913448095,14.296693299076342,10.517392386123413,7.510407359664064,5.0310291913448095,-5.039999999999999,30.418851332840912,13.954047988095976,7.114877535518879,24.264240419206526,42.04484680031997,24.553057519010235,25.178587266912007,33.380708950181976,72.79640482153933,0,11.126902983393991,0,0,22.99804733313562,0,33.95504378895343,5.261891554738487,5.316788604006331,0,39.64783556346762,19.820645893538753,106.17711377172134,0,40.194171629321886,5.9693052879518484,29.160506604881608,10.111325788078153,0,5.261891554738487,0,36.39820241076966,77.56001869187126,18.17457496607118,18.239554769002186,43.96839235376744,11.49902366656781,0,0,5.9693052879518484,35,0,0,0,0,0,0,2,0,5,2,44,17,1,1,17,12,0,12,16,9,3,3,0,0,6,8,2,0,16,12,0,0,0,0,5,0,0,0,0,2,1
7.017728766960432,"COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O","0.5",3.8703200000000013,122.12640000000007,183.17311335401803,72.48,419.52500000000026,419.2208917880001,6,2,10,2,5,1,6,31,60,0,0,3,3,0,0,1,0,0,2,0,0,0.28,18.273888283534,10.339660550123007,7.222026629967998,5.004382288856927,3.3159320651765025,10.339660550123007,7.222026629967998,5.004382288856927,3.3159320651765025,-3.379999999999999,22.308463960105065,11.131081421918115,6.297089510847787,20.10730311561276,31.090468603401398,17.946175554497316,6.923737199690624,23.614091674781612,60.6636706846161,0,11.126902983393991,0,0,11.759976672870742,0,14.268263091671919,0,15.617555728959868,0,26.999112769806743,20.199310353102685,77.35402515970709,0,22.886879656264732,5.907179729351506,20.10730311561276,4.794537184071822,0,4.983978520947208,0,48.53093654769288,35.243910234940216,38.187824977586956,7.109797541277533,6.606881964512918,0,17.667156402222247,0,0,25,0,0,0,0,0,0,2,1,3,0,31,14,1,0,9,9,0,10,9,6,2,2,0,0,4,8,1,0,11,7,0,0,0,0,3,0,0,0,0,0,0
9.036212172654444,"Cc1c(CO)cccc1-c1ccccc1","1",3.154320000000001,62.53780000000004,90.01261530655025,20.23,198.265,198.104465068,1,1,2,1,1,0,1,15,29,0,0,2,2,0,0,0,0,0,2,0,0,0.14285714285714285,8.773122530203514,5.074481694989364,3.6138362522768546,2.701116301499258,1.7852004065847924,5.074481694989364,3.6138362522768546,2.701116301499258,1.7852004065847924,-1.5999999999999996,9.936265432098764,4.281815283239452,1.9243342516069795,0,5.106527394840706,6.606881964512918,6.923737199690624,11.126902983393991,48.53093654769288,0,11.126902983393991,0,0,0,0,5.106527394840706,0,0,0,13.530619164203543,0,59.65783953108687,0,11.126902983393991,0,5.106527394840706,0,0,0,0,48.53093654769288,29.177543166478603,0,6.606881964512918,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,15,4,0,0,6,6,0,2,2,1,1,1,0,0,2,1,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0
4.5528419686577815,"NC(=O)c1ccccc1NC(=O)c1ccc(-c2ccccc2)cc1","0",3.7048000000000023,94.7911,139.48827284112653,72.19,316.35999999999996,316.121177752,4,3,4,2,2,2,4,24,40,0,0,3,3,0,0,0,0,0,3,0,0,0,12.899400349582491,7.506324501817179,5.307334370299836,3.6949352517875327,2.446120300803058,7.506324501817179,5.307334370299836,3.6949352517875327,2.446120300803058,-3.399999999999999,15.49396193907119,6.790594456016665,3.329289940828403,11.050456081168516,11.814359458703011,0,0,20.715977351537635,78.86277189000094,0,11.126902983393991,0,5.687386274683562,0,0,9.589074368143644,0,0,5.733667477162185,0,5.316788604006331,89.98967487339495,0,11.126902983393991,17.501745733386574,11.050456081168516,9.589074368143644,0,0,0,54.59730361615449,35.392371257240434,5.563451491696996,11.250837766380558,0,0,0,11.814359458703011,0,20,0,0,0,0,0,0,2,0,2,0,24,6,2,0,9,9,0,4,6,4,3,2,0,0,3,1,2,0,13,5,0,0,0,0,3,0,0,0,0,0,0
5.142667503568732,"Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1","0",6.442620000000006,130.77379999999997,197.52092176525665,49.769999999999996,494.42900000000003,493.12525585599997,4,1,7,1,3,0,5,32,60,1,1,4,3,1,1,0,1,1,3,0,0,0.2962962962962963,19.845728701446372,11.839929766988522,9.183801871467162,6.814331439484433,4.920603711244905,11.046931497431169,8.329464972292643,6.1946235811447945,4.379941419683033,-2.6299999999999986,22.559902548813632,10.324555711666457,5.2221904387907285,4.736862953800049,28.562339648703563,17.946175554497316,6.923737199690624,35.95281934386902,71.20275726891013,0,11.126902983393991,0,0,5.749511833283905,15.929943897949348,14.637927532712576,0,4.899909730850477,0,45.379681268042106,6.544756405912575,87.89311174400113,0,16.876414816677897,21.899249185901198,9.843390348640755,9.694446914922299,0,0,0,61.0181252390805,82.19007234481276,6.544756405912575,4.472719515832414,18.398234626944785,0,0,0,5.9693052879518484,27,0,0,1,0,0,0,0,1,3,0,32,10,1,0,15,9,0,7,7,4,1,1,0,0,4,3,1,0,15,9,0,0,0,0,4,0,0,0,0,0,0
