RDKit Mol,pIC50,Prediction (pIC50),Prediction (pIC50) (Prediction Variance)
CC(C)[C@H](NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,7.13076828,6.863794702,0.961878095
O=C(O)[C@H](CO)NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1,8.070581074,6.949745529,0.69777759
COC[C@H](NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,7.102372909,6.899364485,1.061939041
OCC(CO)NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1,7.236572006,6.665979036,0.98192948
O=C(O)C[C@H](NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,6.324221658,6.881007968,0.95021369
O[C@H]1CCN(Cc2ccc3c(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)nsc3c2)C1,6.962573502,6.530909003,0.971476938
O[C@@H]1CCN(Cc2ccc3c(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)nsc3c2)C1,6.974694135,6.530909003,0.971476938
O=C(O)[C@@H](CO)NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1,7.958607315,6.949745529,0.69777759
C[C@@H](NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,7.366531544,6.834514309,0.806909489
O=C(O)[C@H](CO)NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3F)nsc2c1,6.313363731,6.956591969,0.86459507
Cc1c(Nc2nsc3cc(CN[C@@H](CO)C(=O)O)ccc23)cccc1-c1ccc2c(c1)OCCO2,7.107905397,6.966877993,0.780289386
O=C(O)[C@H](CO)NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCO5)c3Cl)nsc2c1,7.455931956,6.832189485,0.831476398
O=C(O)[C@H](CO)NCc1ccc2c(Nc3cccc(-c4cccc(O)c4)c3Cl)nsc2c1,6.844663963,6.797245757,0.977763502
O=C(O)[C@H](CO)NCc1ccc2c(Nc3cccc(-c4ccccc4)c3Cl)nsc2c1,7.397940009,6.680351981,0.854741379
O=C(O)[C@H](CO)NCc1ccc2c(Nc3cccc(-c4cccc5c4CCN5CCCN4CCC(O)C4)c3Cl)nsc2c1,6.63638802,7.301402199,1.718907132
CCOC(=O)[C@@H](CO)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,6.370590401,7.119339819,0.732782491
OC1CCC(NCc2cc(Cl)c(OCc3cccc(-c4ccccc4)c3Br)cc2OCc2ccc3nonc3c2)CC1,7.244125144,7.299747043,1.058988677
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,6.886056648,6.936949063,0.732930859
Clc1cc(CNCCN2CCCCC2)c(OCc2ccc3nonc3c2)cc1OCc1cccc(-c2ccccc2)c1Cl,6.536107011,6.894649278,1.070495755
O=C1CC[C@@H](CNCc2cc(Cl)c(OCc3cccc(-c4ccccc4)c3Cl)cc2OCc2ccc3nonc3c2)N1,7.657577319,7.7642276,2.296932886
Cc1c(-c2ccccc2)cccc1-c1cc(CNCCO)ccn1,6.882728704,6.854783656,0.663184673
Cc1c(-c2ccccc2)cccc1-c1ccc(CNCCO)cn1,7.455931956,6.868084997,0.538572204
CC(=O)NCCNCc1ccc(-c2cccc(-c3ccccc3)c2C)nc1,7.27572413,6.572199384,0.640859129
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,7.853871964,6.954119961,1.256931483
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CN[C@@H](CO)C(=O)O,7.769551079,7.26193765,1.239174393
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CNC[C@@H]1CCC(=O)N1,7.853871964,7.825438957,2.494851391
